dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	google-gemini-2-5-flash	ays	8	4	99	12	0.6666666666666666	0.4	0.5	0.9024390243902439	0.8918918918918919	0.8048780487804879	0.8699186991869918
bamboogle	google-gemini-2-5-flash	idk	1	0	103	19	1.0	0.05	0.09523809523809523	0.991869918699187	0.8442622950819673	0.8373983739837398	0.8455284552845529
bamboogle	google-gemini-2-5-flash	pairwise_assistive	12	16	87	8	0.42857142857142855	0.6	0.5	0.7723577235772358	0.9157894736842105	0.7073170731707317	0.8048780487804879
bamboogle	google-gemini-2-5-flash	pairwise_incremental	12	9	94	8	0.5714285714285714	0.6	0.5853658536585366	0.8292682926829268	0.9215686274509803	0.7642276422764228	0.8617886178861789
bamboogle	google-gemini-2-5-flash	pairwise_model_generated	13	11	92	7	0.5416666666666666	0.65	0.5909090909090908	0.8048780487804879	0.9292929292929293	0.7479674796747967	0.8536585365853658
bamboogle	google-gemini-2-5-flash	self_consistency	7	7	96	13	0.5	0.35	0.4117647058823529	0.8861788617886179	0.8807339449541285	0.7804878048780488	0.8373983739837398
bamboogle	google-gemini-2-5-flash	ensemble_pairwise_both	16	18	85	4	0.47058823529411764	0.8	0.5925925925925927	0.7235772357723578	0.9550561797752809	0.6910569105691057	0.8211382113821138
bamboogle	google-gemini-2-5-flash	ensemble_ays_pairwise_assistive	15	17	86	5	0.46875	0.75	0.5769230769230769	0.7398373983739838	0.945054945054945	0.6991869918699187	0.8211382113821138
bamboogle	google-gemini-2-5-flash	ensemble_ays_pairwise_incremental	14	11	92	6	0.56	0.7	0.6222222222222222	0.7967479674796748	0.9387755102040817	0.7479674796747967	0.8617886178861789
bamboogle	google-gemini-2-5-flash	ensemble_idk_pairwise_assistive	12	16	87	8	0.42857142857142855	0.6	0.5	0.7723577235772358	0.9157894736842105	0.7073170731707317	0.8048780487804879
bamboogle	google-gemini-2-5-flash	ensemble_idk_pairwise_incremental	13	9	94	7	0.5909090909090909	0.65	0.6190476190476191	0.8211382113821138	0.9306930693069307	0.7642276422764228	0.8699186991869918
bamboogle	google-gemini-2-5-flash	ensemble_ays_idk_pairwise_assistive	15	17	86	5	0.46875	0.75	0.5769230769230769	0.7398373983739838	0.945054945054945	0.6991869918699187	0.8211382113821138
bamboogle	google-gemini-2-5-flash	ensemble_ays_idk_pairwise_incremental	15	11	92	5	0.5769230769230769	0.75	0.6521739130434783	0.7886178861788617	0.9484536082474226	0.7479674796747967	0.8699186991869918
