model,dataset,method,TP,FP,TN,FN,F1,AUROC
GPT-5.1,bamboogle,Ensemble(A),12,5,99,7,0.6666666666666667,0.791751012145749
GPT-5.1,bamboogle,Ensemble(I),10,5,99,9,0.5882352941176471,0.7391194331983806
GPT-5.1,crag,Ensemble(A),4,0,16,3,0.7272727272727273,0.7857142857142857
GPT-5.1,crag,Ensemble(I),4,0,16,3,0.7272727272727273,0.7857142857142857
GPT-5.1,hotpotqa,Ensemble(A),37,12,121,15,0.7326732673267328,0.8106564488143435
GPT-5.1,hotpotqa,Ensemble(I),34,12,121,18,0.693877551020408,0.7818102949681898
GPT-5.1,mintaka,Ensemble(A),21,29,223,20,0.46153846153846156,0.6985578784359272
GPT-5.1,mintaka,Ensemble(I),24,32,220,17,0.4948453608247423,0.7291908633372048
Llama 3.3 70B,bamboogle,Ensemble(A),61,9,47,6,0.8905109489051095,0.874866737739872
Llama 3.3 70B,bamboogle,Ensemble(I),57,10,46,10,0.8507462686567164,0.8360874200426439
Llama 3.3 70B,crag,Ensemble(A),66,21,46,26,0.7374301675977654,0.7019792342634652
Llama 3.3 70B,crag,Ensemble(I),68,17,50,24,0.768361581920904,0.7426995457495134
Llama 3.3 70B,hotpotqa,Ensemble(A),145,38,73,17,0.8405797101449275,0.7763596930263597
Llama 3.3 70B,hotpotqa,Ensemble(I),138,39,72,24,0.8141592920353983,0.7502502502502503
Llama 3.3 70B,mintaka,Ensemble(A),93,35,150,20,0.7717842323651452,0.8169098301841664
Llama 3.3 70B,mintaka,Ensemble(I),95,36,149,18,0.7786885245901639,0.8230566850035876
Qwen3-8B,bamboogle,Ensemble(A),101,5,10,7,0.9439252336448598,0.8009259259259259
Qwen3-8B,bamboogle,Ensemble(I),92,5,10,16,0.8975609756097561,0.7592592592592593
Qwen3-8B,crag,Ensemble(A),122,19,12,6,0.9070631970260223,0.6701108870967742
Qwen3-8B,crag,Ensemble(I),121,17,14,7,0.9097744360902256,0.6984627016129032
Qwen3-8B,hotpotqa,Ensemble(A),200,25,34,15,0.9090909090909092,0.7532518722901065
Qwen3-8B,hotpotqa,Ensemble(I),199,31,28,16,0.8943820224719101,0.700078833267639
Qwen3-8B,mintaka,Ensemble(A),201,28,44,25,0.8835164835164836,0.7502458210422813
Qwen3-8B,mintaka,Ensemble(I),190,33,39,36,0.8463251670378619,0.6911873156342183
